Código Município Completo;Nome_UF;Nome_Mesorregião;Nome_Microrregião;Nome_Município;Area_Municipio;;;;;
1500958;Pará;Nordeste Paraense;Guamá;Aurora do Pará;Área Rural;;;;;
1501006;Pará;Sudoeste Paraense;Itaituba;Aveiro;Área Rural;;;;;
1501105;Pará;Marajó;Portel;Bagre;Área Rural;;;;;
1501204;Pará;Nordeste Paraense;Cametá;Baião;Área Rural;;;;;
1501253;Pará;Sudeste Paraense;São Félix do Xingu;Bannach;Área Rural;;;;;
1501303;Pará;Metropolitana de Belém;Belém;Barcarena;Área Rural;;;;;
1501402;Pará;Metropolitana de Belém;Belém;Belém;Centro Urbano;;;;;
1501451;Pará;Baixo Amazonas;Santarém;Belterra;Área Rural;;;;;
1501501;Pará;Metropolitana de Belém;Belém;Benevides;Área Rural;;;;;
1501576;Pará;Sudeste Paraense;Paragominas;Bom Jesus do Tocantins;Área Rural;;;;;
1501600;Pará;Nordeste Paraense;Bragantina;Bonito;Área Rural;;;;;
1501709;Pará;Nordeste Paraense;Bragantina;Bragança;Área Rural;;;;;
1501725;Pará;Sudoeste Paraense;Altamira;Brasil Novo;Área Rural;;;;;
1501758;Pará;Sudeste Paraense;Marabá;Brejo Grande do Araguaia;Área Rural;;;;;
1501782;Pará;Sudeste Paraense;Tucuruí;Breu Branco;Área Rural;;;;;
1501808;Pará;Marajó;Furos de Breves;Breves;Área Rural;;;;;
1501907;Pará;Metropolitana de Belém;Castanhal;Bujaru;Área Rural;;;;;
1502004;Pará;Marajó;Arari;Cachoeira do Arari;Área Rural;;;;;
1501956;Pará;Nordeste Paraense;Guamá;Cachoeira do Piriá;Área Rural;;;;;
1502103;Pará;Nordeste Paraense;Cametá;Cametá;Centro Urbano;;;;;
1502152;Pará;Sudeste Paraense;Parauapebas;Canaã dos Carajás;Área Rural;;;;;
1502202;Pará;Nordeste Paraense;Bragantina;Capanema;Área Rural;;;;;
1502301;Pará;Nordeste Paraense;Guamá;Capitão Poço;Área Rural;;;;;
1502400;Pará;Metropolitana de Belém;Castanhal;Castanhal;Centro Urbano;;;;;
1502509;Pará;Marajó;Arari;Chaves;Área Rural;;;;;
1502608;Pará;Nordeste Paraense;Salgado;Colares;Área Rural;;;;;
1502707;Pará;Sudeste Paraense;Conceição do Araguaia;Conceição do Araguaia;Centro Urbano;;;;;
1502756;Pará;Nordeste Paraense;Tomé-Açu;Concórdia do Pará;Área Rural;;;;;
1502764;Pará;Sudeste Paraense;São Félix do Xingu;Cumaru do Norte;Área Rural;;;;;
1502772;Pará;Sudeste Paraense;Parauapebas;Curionópolis;Área Rural;;;;;
1502806;Pará;Marajó;Furos de Breves;Curralinho;Área Rural;;;;;
1502855;Pará;Baixo Amazonas;Santarém;Curuá;Área Rural;;;;;
1502905;Pará;Nordeste Paraense;Salgado;Curuçá;Área Rural;;;;;
1502939;Pará;Sudeste Paraense;Paragominas;Dom Eliseu;Área Rural;;;;;
1502954;Pará;Sudeste Paraense;Parauapebas;Eldorado do Carajás;Área Rural;;;;;
1503002;Pará;Baixo Amazonas;Óbidos;Faro;Área Rural;;;;;
1503044;Pará;Sudeste Paraense;Conceição do Araguaia;Floresta do Araguaia;Área Rural;;;;;
1503077;Pará;Nordeste Paraense;Guamá;Garrafão do Norte;Área Rural;;;;;
1503093;Pará;Sudeste Paraense;Paragominas;Goianésia do Pará;Área Rural;;;;;
1503101;Pará;Marajó;Portel;Gurupá;Área Rural;;;;;
1503200;Pará;Nordeste Paraense;Bragantina;Igarapé-Açu;Área Rural;;;;;
1503309;Pará;Nordeste Paraense;Cametá;Igarapé-Miri;Área Rural;;;;;
1503408;Pará;Metropolitana de Belém;Castanhal;Inhangapi;Área Rural;;;;;
1503457;Pará;Nordeste Paraense;Guamá;Ipixuna do Pará;Área Rural;;;;;
1503507;Pará;Nordeste Paraense;Guamá;Irituia;Área Rural;;;;;
1503606;Pará;Sudoeste Paraense;Itaituba;Itaituba;Centro Urbano;;;;;
1503705;Pará;Sudeste Paraense;Tucuruí;Itupiranga;Área Rural;;;;;
1503754;Pará;Sudoeste Paraense;Itaituba;Jacareacanga;Área Rural;;;;;
1503804;Pará;Sudeste Paraense;Tucuruí;Jacundá;Área Rural;;;;;
1503903;Pará;Baixo Amazonas;Óbidos;Juruti;Área Rural;;;;;
1504000;Pará;Nordeste Paraense;Cametá;Limoeiro do Ajuru;Área Rural;;;;;
1504059;Pará;Nordeste Paraense;Guamá;Mãe do Rio;Área Rural;;;;;
1504109;Pará;Nordeste Paraense;Salgado;Magalhães Barata;Área Rural;;;;;
1504208;Pará;Sudeste Paraense;Marabá;Marabá;Centro Urbano;;;;;
1504307;Pará;Nordeste Paraense;Salgado;Maracanã;Área Rural;;;;;
1504406;Pará;Nordeste Paraense;Salgado;Marapanim;Área Rural;;;;;
1504422;Pará;Metropolitana de Belém;Belém;Marituba;Área Rural;;;;;
1504455;Pará;Sudoeste Paraense;Altamira;Medicilândia;Área Rural;;;;;
1504505;Pará;Marajó;Portel;Melgaço;Área Rural;;;;;
1504604;Pará;Nordeste Paraense;Cametá;Mocajuba;Área Rural;;;;;
1504703;Pará;Nordeste Paraense;Tomé-Açu;Moju;Área Rural;;;;;
